Year,Province,NDVI_V,NDVI_VI,NDVI_VII,NDVI_VIII,NDVI_IX,NDVI_X,NDVI_XI
2006,Nam_Dinh,0.630893672,0.387897305,0.325485951,0.622272401,0.70756868,0.421194877,0.292391963
2007,Nam_Dinh,0.558118469,0.330873925,0.355515999,0.51805839,0.642873321,0.397618974,0.301726909
2008,Nam_Dinh,0.701041281,0.39777198,0.270846325,0.605462993,0.509434965,0.415509195,0.225454854
2009,Nam_Dinh,0.563003017,0.318550186,0.278622375,0.601947205,0.633417783,0.408343477,0.311360001
2010,Nam_Dinh,0.541252763,0.308323125,0.299256021,0.569339564,0.627749536,0.430211525,0.303892422
2011,Nam_Dinh,0.738668694,0.554268551,0.269389912,0.547486987,0.551118088,0.494861956,0.354598926
2012,Nam_Dinh,0.552967678,0.437885925,0.348032785,0.59358852,0.600842594,0.398355916,0.211639718
2013,Nam_Dinh,0.587558336,0.33918041,0.331458552,0.610668937,0.575059386,0.422538084,0.228778445
2014,Nam_Dinh,0.54597657,0.436280949,0.323194004,0.559671859,0.611331145,0.343211099,0.319272221
2015,Nam_Dinh,0.657584708,0.393670904,0.188931029,0.646895698,0.645744498,0.43141519,0.284472516
2016,Nam_Dinh,0.569648706,0.441389785,0.347091839,0.523913177,0.558880905,0.440778778,0.306779523
2017,Nam_Dinh,0.607200762,0.264075578,0.195588459,0.52310721,0.584718017,0.448911134,0.213121937
2018,Nam_Dinh,0.633973266,0.399043156,0.21565977,0.527789714,0.616798171,0.443115228,0.325466032
2019,Nam_Dinh,0.494259613,0.288912869,0.320271936,0.536660256,0.702958214,0.487605495,0.361060493
2020,Nam_Dinh,0.563946038,0.329466076,0.321481389,0.642277662,0.492961452,0.433298244,0.327499066
2000,Ninh_Binh,0.511715377,0.401141966,0.378103782,0.483514227,0.535602058,0.410377152,0.283812214
2001,Ninh_Binh,0.522336733,0.485993091,0.370170301,0.481777979,0.594328795,0.397495592,0.356720659
2002,Ninh_Binh,0.55488333,0.335218292,0.401809985,0.516972508,0.662553137,0.397291223,0.252757805
2003,Ninh_Binh,0.545097517,0.381278064,0.460740115,0.477877371,0.386545483,0.392911685,0.355695409
2004,Ninh_Binh,0.598648374,0.400822435,0.285000033,0.526535507,0.598448244,0.473284321,0.29006234
2005,Ninh_Binh,0.671811973,0.340104068,0.372265756,0.497635368,0.496406548,0.352776658,0.283653556
2006,Ninh_Binh,0.582741764,0.361226398,0.412397822,0.625581529,0.621131601,0.352031544,0.357544626
2007,Ninh_Binh,0.492909114,0.337949063,0.499833441,0.46447742,0.605491706,0.359472692,0.31734018
2008,Ninh_Binh,0.675589881,0.432148077,0.357410351,0.581921414,0.508200404,0.376578496,0.230425502
2009,Ninh_Binh,0.476660008,0.314629352,0.409272891,0.588083616,0.560372733,0.408454699,0.359074504
2010,Ninh_Binh,0.528507036,0.329545191,0.373657627,0.561025882,0.574995596,0.388444897,0.337872049
2011,Ninh_Binh,0.713550186,0.558641639,0.35891682,0.519112605,0.540481534,0.492662979,0.382689811
2012,Ninh_Binh,0.569817564,0.435371013,0.423338424,0.604586407,0.537801466,0.374526809,0.253204434
2013,Ninh_Binh,0.528841217,0.380387024,0.383499866,0.582957834,0.499679672,0.406894833,0.252197313
2014,Ninh_Binh,0.529567988,0.442282374,0.416612628,0.501042446,0.580760152,0.30677281,0.372297915
