Year,Province,Pre_NDVI_X,Pre_NDVI_XI,Pre_NDVI_XII,NDVI_I,NDVI_II,NDVI_III,NDVI_IV,NDVI_V
2010,Nam_Dinh,0.408343477,0.311360001,0.165787779,0.146646288,0.125496088,0.133523816,0.370832816,0.541252763
2011,Nam_Dinh,0.430211525,0.303892422,0.215171634,0.027107357,0.056927247,0.081069413,0.407611808,0.738668694
2012,Nam_Dinh,0.494861956,0.354598926,0.19384709,0.020550492,0.032884374,0.108586035,0.421562959,0.552967678
2013,Nam_Dinh,0.398355916,0.211639718,0.139330888,0.097227586,0.055173597,0.289479284,0.434998038,0.587558336
2014,Nam_Dinh,0.422538084,0.228778445,0.362359157,0.194695956,0.026078211,0.069222538,0.200493346,0.54597657
2015,Nam_Dinh,0.343211099,0.319272221,0.286556471,0.238444611,0.035015108,0.224761828,0.661450164,0.657584708
2016,Nam_Dinh,0.43141519,0.284472516,0.381967864,0.171988525,0.150479155,0.084496073,0.353033525,0.569648706
2017,Nam_Dinh,0.440778778,0.306779523,0.223821721,0.142153485,0.140108884,0.232742884,0.5559293,0.607200762
2018,Nam_Dinh,0.448911134,0.213121937,0.257230076,0.092376312,0.067377237,0.307028569,0.456991881,0.633973266
2019,Nam_Dinh,0.443115228,0.325466032,0.288885467,0.065607608,0.152788087,0.245464463,0.488723631,0.494259613
2020,Nam_Dinh,0.487605495,0.361060493,0.31152584,0.146129063,0.132660021,0.169402549,0.435565557,0.563946038
2001,Ninh_Binh,0.410377152,0.283812214,0.260559113,0.138951988,0.137113588,0.256475397,0.619490826,0.522336733
2002,Ninh_Binh,0.397495592,0.356720659,0.183671841,0.188171712,0.101906356,0.282457155,0.55736095,0.55488333
2003,Ninh_Binh,0.397291223,0.252757805,0.246144968,0.192634105,0.239304383,0.283919241,0.567870309,0.545097517
2004,Ninh_Binh,0.392911685,0.355695409,0.1698768,0.076265534,0.120174604,0.315501004,0.45591143,0.598648374
2005,Ninh_Binh,0.473284321,0.29006234,0.292983331,0.0877307,0.111165575,0.188261073,0.543953764,0.671811973
2006,Ninh_Binh,0.352776658,0.283653556,0.223286111,0.186369399,0.113729376,0.140896804,0.571703263,0.582741764
2007,Ninh_Binh,0.352031544,0.357544626,0.255993973,0.126903632,0.119375631,0.23551155,0.586703712,0.492909114
2008,Ninh_Binh,0.359472692,0.31734018,0.19884096,0.155747153,0.08730514,0.148912888,0.458538851,0.675589881
2009,Ninh_Binh,0.376578496,0.230425502,0.218162394,0.16580107,0.096561659,0.301668842,0.535404956,0.476660008
2010,Ninh_Binh,0.408454699,0.359074504,0.235761641,0.1617683,0.223796543,0.160719357,0.343483129,0.528507036
2011,Ninh_Binh,0.388444897,0.337872049,0.257444023,0.024942291,0.06854939,0.085195638,0.391991849,0.713550186
2012,Ninh_Binh,0.492662979,0.382689811,0.211937234,0.024900927,0.054924943,0.169827513,0.50396486,0.569817564
2013,Ninh_Binh,0.374526809,0.253204434,0.156120084,0.096121397,0.09521546,0.35377671,0.488718064,0.528841217
