Year,Province,CropYield
2011,Thai_Binh,65.85998792999396
2012,Thai_Binh,65.07985257985257
2013,Thai_Binh,65.09270704573547
2014,Thai_Binh,65.63040791100123
2015,Thai_Binh,65.95652173913044
2016,Thai_Binh,65.80886945658963
2017,Thai_Binh,59.39508506616257
2018,Thai_Binh,65.54707379134861
2019,Thai_Binh,65.86984536082474
2020,Thai_Binh,65.91411841249187
2021,Thai_Binh,65.11749347258485
2022,Thai_Binh,65.48153034300792
1995,Ha_Nam,41.06995884773662
1996,Ha_Nam,42.26960110041265
1997,Ha_Nam,46.64402173913044
1998,Ha_Nam,48.37146702557201
1999,Ha_Nam,51.05193075898802
2000,Ha_Nam,51.140583554376654
2001,Ha_Nam,52.38095238095239
2002,Ha_Nam,53.90146471371505
2003,Ha_Nam,51.95448460508701
2004,Ha_Nam,54.11924119241193
2005,Ha_Nam,51.839557399723375
2006,Ha_Nam,56.774193548387096
2007,Ha_Nam,58.407460545193686
2008,Ha_Nam,59.13352272727272
2009,Ha_Nam,59.53124999999999
2010,Ha_Nam,59.37411095305833
2011,Ha_Nam,60.83094555873926
2012,Ha_Nam,61.52173913043478
2013,Ha_Nam,57.93255131964809
2014,Ha_Nam,59.58456973293768
2015,Ha_Nam,60.7185628742515
2016,Ha_Nam,60.28963414634147
2017,Ha_Nam,56.8062015503876
2018,Ha_Nam,61.12341772151898
2019,Ha_Nam,61.932367149758456
2020,Ha_Nam,62.18181818181818
2021,Ha_Nam,62.35294117647059
2022,Ha_Nam,62.04778156996587
1995,Thanh_Hoa,33.88178913738019
1996,Thanh_Hoa,28.188694267515924
1997,Thanh_Hoa,38.5394581861013
1998,Thanh_Hoa,38.32545311268716
1999,Thanh_Hoa,41.9652036378015
2000,Thanh_Hoa,42.55533980582524
2001,Thanh_Hoa,46.211180124223596
2002,Thanh_Hoa,48.69751166407465
2003,Thanh_Hoa,49.62948517940718
2004,Thanh_Hoa,52.0777690494894
2005,Thanh_Hoa,49.06819984139572
2006,Thanh_Hoa,54.998033818324814
2007,Thanh_Hoa,52.67688679245283
2008,Thanh_Hoa,54.40914374273537
2009,Thanh_Hoa,56.28438589693916
2010,Thanh_Hoa,55.070977917981075
2011,Thanh_Hoa,55.51925320886814
2012,Thanh_Hoa,57.75223996883522
2013,Thanh_Hoa,55.85251658213031
2014,Thanh_Hoa,58.64269141531322
2015,Thanh_Hoa,57.40466926070039
2016,Thanh_Hoa,58.806616778259155
2017,Thanh_Hoa,58.41516966067864
2018,Thanh_Hoa,57.835515548281506
2019,Thanh_Hoa,58.81462799495586
2020,Thanh_Hoa,59.411764705882355
2021,Thanh_Hoa,60.93143596377749
2022,Thanh_Hoa,60.64544265154819
1995,Nghe_An,30.414452709883104
1996,Nghe_An,28.626284478096267
1997,Nghe_An,34.94411921234699
1998,Nghe_An,33.013029315960914
1999,Nghe_An,35.95804988662131
2000,Nghe_An,40.34261241970021
2001,Nghe_An,41.30618720253834
2002,Nghe_An,44.42379182156134
2003,Nghe_An,44.90112239444148
2004,Nghe_An,48.25205479452055
2005,Nghe_An,45.62153163152053
2006,Nghe_An,50.01646542261252
2007,Nghe_An,46.24795193883124
2008,Nghe_An,50.61213434452871
2009,Nghe_An,48.74186550976139
2010,Nghe_An,45.17993456924754
2011,Nghe_An,51.60752688172043
2012,Nghe_An,52.11176786673831
2013,Nghe_An,50.49402823018458
2014,Nghe_An,53.8850452368281
2015,Nghe_An,52.454448017148984
2016,Nghe_An,54.16129032258065
2017,Nghe_An,53.82290562036055
2018,Nghe_An,54.1362660944206
2019,Nghe_An,52.0693450742983
2020,Nghe_An,54.03771491957848
2021,Nghe_An,58.14938684503902
2022,Nghe_An,57.515886770652806
1995,Ha_Tinh,28.777985074626866
1996,Ha_Tinh,29.160516605166052
1997,Ha_Tinh,32.81793229643184
1998,Ha_Tinh,29.785575048732944
1999,Ha_Tinh,35.64150943396226
2000,Ha_Tinh,36.87791239515378
2001,Ha_Tinh,38.23638042474607
2002,Ha_Tinh,41.267345050878816
2003,Ha_Tinh,44.183381088825215
2004,Ha_Tinh,47.47553816046967
2005,Ha_Tinh,46.111675126903556
2006,Ha_Tinh,46.83693516699411
2007,Ha_Tinh,36.18905472636816
2008,Ha_Tinh,46.417910447761194
2009,Ha_Tinh,46.54726368159204
2010,Ha_Tinh,41.81634712411706
2011,Ha_Tinh,47.517658930373365
2012,Ha_Tinh,48.56998992950655
2013,Ha_Tinh,48.530901722391086
2014,Ha_Tinh,50.583580613254206
2015,Ha_Tinh,51.27826941986234
2016,Ha_Tinh,51.29593810444874
2017,Ha_Tinh,42.53602305475505
2018,Ha_Tinh,52.07198443579767
2019,Ha_Tinh,48.909266409266415
2020,Ha_Tinh,51.45472061657033
2021,Ha_Tinh,55.338417540514776
2022,Ha_Tinh,53.282442748091604
1995,Quang_Binh,27.171052631578945
1996,Quang_Binh,32.717622080679405
1997,Quang_Binh,32.58620689655172
1998,Quang_Binh,27.38738738738739
1999,Quang_Binh,36.22601279317697
2000,Quang_Binh,41.36363636363636
2001,Quang_Binh,40.18867924528302
2002,Quang_Binh,43.11715481171549
2003,Quang_Binh,43.734177215189874
2004,Quang_Binh,46.625258799171846
2005,Quang_Binh,45.954356846473026
2006,Quang_Binh,47.20977596741344
2007,Quang_Binh,42.98804780876494
2008,Quang_Binh,47.26377952755906
2009,Quang_Binh,47.91338582677166
2010,Quang_Binh,45.047984644913626
2011,Quang_Binh,49.28030303030303
2012,Quang_Binh,49.13857677902622
2013,Quang_Binh,47.08411214953271
2014,Quang_Binh,51.18081180811808
2015,Quang_Binh,50.905730129390015
2016,Quang_Binh,51.163636363636364
2017,Quang_Binh,51.3898916967509
